id,country,city,neighbourhood,property_type,price,review_scores_rating
18399259,Sweden,Stockholm,Södermalm,Apartment,$636.00,98
12206219,Sweden,Stockholm,Enskede-Årsta-Vantör,House,"$3,004.00",97
26492225,Sweden,Södermalm,Södermalm,Apartment,$851.00,80
4588642,Sweden,Stockholm,Hägersten-Liljeholmen,Apartment,$499.00,93
36339795,Sweden,Skärholmen,Skärholmen,Apartment,$225.00,90
12481556,Norway,Oslo,Sagene,Apartment,$454.00,96
16731631,Sweden,Stockholm,Södermalm,Apartment,"$1,898.00",95
2914892,Norway,Oslo,Grünerløkka,Apartment,$472.00,98
11348636,Sweden,Stockholm,Enskede-Årsta-Vantör,Loft,$499.00,99
12824370,Sweden,Stockholm,Södermalm,Apartment,"$1,751.00",100
23166504,Sweden,Enskede-Årsta-Vantör,Enskede-Årsta-Vantör,Apartment,$274.00,95
6302597,Sweden,Stockholm,Södermalm,Loft,"$3,503.00",95
26241164,Sweden,Stockholm,Södermalm,Apartment,"$2,358.00",100
2633519,Norway,Oslo,Gamle Oslo,Apartment,$563.00,96
6342781,Norway,Oslo,Sagene,Apartment,$699.00,98
27189492,Sweden,Södermalm,Södermalm,Apartment,"$1,487.00",100
13601268,Sweden,Stockholm,Enskede-Årsta-Vantör,House,"$1,546.00",96
11086044,Norway,Oslo,Gamle Oslo,Apartment,$645.00,88
12249965,Sweden,Stockholm,Södermalm,Apartment,$900.00,99
2781911,Sweden,Stockholm,Norrmalm,Apartment,"$1,203.00",100
15460497,Sweden,Stockholm,Kungsholmen,Hostel,$196.00,79
22467192,Sweden,Stockholm,Älvsjö,Apartment,$391.00,95
7640576,Sweden,Stockholm,Enskede-Årsta-Vantör,Apartment,$450.00,80
6247622,Sweden,Stockholm,Östermalm,Apartment,"$2,201.00",100
19194575,Sweden,Södermalm,Södermalm,Apartment,$851.00,96
4329457,Sweden,Stockholm,Södermalm,Apartment,$929.00,88
23479698,Sweden,Stockholm,Södermalm,Loft,$303.00,100
6759805,Sweden,Stockholm,Skarpnäck,Apartment,$548.00,90
9387886,Sweden,Stockholm,Södermalm,Apartment,$998.00,100
24752100,Sweden,Hägersten-Liljeholmen,Hägersten-Liljeholmen,Apartment,$372.00,94
7077162,Sweden,Stockholm,Kungsholmen,Apartment,$646.00,97
7713390,Sweden,Stockholm,Norrmalm,Apartment,"$1,203.00",100
12188745,Sweden,Stockholm,Södermalm,Apartment,$792.00,100
6565575,Norway,Oslo,Østensjø,House,"$1,453.00",88
28574861,Sweden,Östermalm,Östermalm,Apartment,"$1,203.00",100
35156028,Sweden,Hägersten-Liljeholmen,Hägersten-Liljeholmen,Apartment,"$1,497.00",100
27755826,Sweden,Spånga-Tensta,Spånga-Tensta,Villa,"$1,497.00",100
12230035,Norway,Oslo,Majorstuen,Apartment,$291.00,100
11617389,Norway,Oslo,Gamle Oslo,Apartment,$345.00,100
12106481,Norway,Oslo,Grünerløkka,Apartment,$754.00,100
22758413,Sweden,Enskede-Årsta-Vantör,Enskede-Årsta-Vantör,House,"$1,497.00",100
21217002,Sweden,Södermalm,Södermalm,Apartment,"$1,399.00",87
7485526,Norway,Oslo,St. Hanshaugen,Apartment,"$1,389.00",100
8606171,Sweden,Stockholm,Norrmalm,Apartment,$499.00,89
13129542,Norway,Oslo,St. Hanshaugen,Condominium,$899.00,94
28145343,Sweden,Hammarbyhöjden,Skarpnäck,Apartment,$558.00,100
6946318,Sweden,Stockholm,Södermalm,Apartment,$734.00,91
664642,Norway,Oslo,St. Hanshaugen,Apartment,$935.00,87
27548832,Sweden,Stockholm,Enskede-Årsta-Vantör,Apartment,$372.00,95
2700523,Sweden,Stockholm,Kungsholmen,Apartment,"$1,996.00",95
2693360,Norway,Oslo,Frogner,Apartment,"$1,199.00",100
2918876,Norway,Oslo,St. Hanshaugen,Apartment,$372.00,97
1629766,Sweden,Stockholm,Bromma,Apartment,$382.00,91
24803709,Sweden,Skarpnäcks Gård,Skarpnäck,Apartment,$704.00,100
8191839,Norway,Oslo,Sagene,Apartment,$799.00,87
6840596,Norway,Oslo,Gamle Oslo,Apartment,$518.00,94
2537297,Sweden,Stockholm,Bromma,Apartment,"$1,898.00",96
5966289,Norway,Oslo,Frogner,Apartment,$445.00,97
542452,Norway,Oslo,Grünerløkka,Apartment,$490.00,99
17933864,Sweden,Stockholm,Södermalm,Apartment,"$1,203.00",88
16393271,Sweden,Stockholm,Norrmalm,Apartment,$949.00,100
4027340,Sweden,Stockholm,Hägersten-Liljeholmen,House,"$1,927.00",93
13521412,Sweden,Stockholm,Södermalm,Apartment,$929.00,93
6126237,Sweden,Stockholm,Södermalm,Apartment,"$9,001.00",98
34281552,Sweden,Södermalm,Södermalm,Apartment,"$1,800.00",87
8946770,Sweden,Stockholm,Hägersten-Liljeholmen,House,$998.00,88
33358209,Sweden,Södermalm,Södermalm,Loft,"$2,201.00",100
37713018,Sweden,Hägersten-Liljeholmen,Hägersten-Liljeholmen,Apartment,$900.00,100
12820467,Norway,Oslo,Grünerløkka,Apartment,$999.00,95
9707305,Sweden,Stockholm,Hägersten-Liljeholmen,Apartment,$724.00,90
5965839,Norway,Oslo,Gamle Oslo,Apartment,$953.00,98
35786665,Sweden,Södermalm,Södermalm,Apartment,"$1,702.00",100
5794581,Sweden,Stockholm,Bromma,Apartment,$401.00,100
5698631,Norway,Oslo,Gamle Oslo,Apartment,$581.00,90
5388441,Norway,Oslo,St. Hanshaugen,Apartment,$999.00,100
13036486,Sweden,Stockholm,Skarpnäck,Apartment,$499.00,100
24787894,Sweden,Hägersten-Liljeholmen,Hägersten-Liljeholmen,Apartment,$303.00,99
11580311,Norway,Oslo,Sagene,Apartment,$599.00,94
16918638,Sweden,Stockholm,Norrmalm,Apartment,$929.00,97
12727932,Sweden,Stockholm,Enskede-Årsta-Vantör,Apartment,$577.00,100
15488637,Sweden,Stockholm,Norrmalm,Loft,"$1,888.00",99
31614178,Sweden,Blackeberg,Bromma,Apartment,$450.00,100
